CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,8  to 14 Days,312
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,More than 28 Days,8
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,GP,Video/Online,Same Day,103
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,1 Day,3813
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,7681
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,11817
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,5461
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,10528
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,5823
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,Same Day,13511
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,3
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,1 Day,86
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,10
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,133
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,9
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,25
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,More than 28 Days,5
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Home Visit,Same Day,514
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,1 Day,497
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,15  to 21 Days,124
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,2 to 7 Days,719
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,22  to 28 Days,111
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,8  to 14 Days,295
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,More than 28 Days,57
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,Same Day,8901
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Telephone,Unknown / Data Issue,2
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Unknown,1 Day,133
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Unknown,15  to 21 Days,118
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Unknown,2 to 7 Days,376
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Unknown,22  to 28 Days,112
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Unknown,8  to 14 Days,186
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Unknown,More than 28 Days,96
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Unknown,Same Day,214
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,1 Day,4
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,15  to 21 Days,1
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,2 to 7 Days,16
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Other Practice staff,Video/Online,Same Day,2
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Face-to-Face,1 Day,65
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Face-to-Face,2 to 7 Days,29
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Face-to-Face,8  to 14 Days,3
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Face-to-Face,Same Day,282
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Home Visit,1 Day,45
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Home Visit,2 to 7 Days,34
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Home Visit,22  to 28 Days,1
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Home Visit,8  to 14 Days,3
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Home Visit,More than 28 Days,2
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Home Visit,Same Day,175
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Telephone,1 Day,3
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Telephone,2 to 7 Days,3
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Telephone,8  to 14 Days,1
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Telephone,Same Day,22
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Unknown,1 Day,198
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Unknown,15  to 21 Days,81
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Unknown,2 to 7 Days,404
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Unknown,22  to 28 Days,64
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Unknown,8  to 14 Days,188
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Unknown,More than 28 Days,30
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,Attended,Unknown,Unknown,Same Day,1666
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Face-to-Face,1 Day,144
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Face-to-Face,15  to 21 Days,283
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Face-to-Face,2 to 7 Days,616
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Face-to-Face,22  to 28 Days,139
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Face-to-Face,8  to 14 Days,529
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Face-to-Face,More than 28 Days,100
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Face-to-Face,Same Day,406
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Home Visit,Same Day,3
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Telephone,1 Day,15
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Telephone,15  to 21 Days,6
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Telephone,2 to 7 Days,48
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Telephone,22  to 28 Days,7
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Telephone,8  to 14 Days,10
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Telephone,Same Day,97
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Unknown,1 Day,1
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Unknown,15  to 21 Days,5
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Unknown,2 to 7 Days,4
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Unknown,22  to 28 Days,3
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Unknown,8  to 14 Days,11
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Unknown,More than 28 Days,2
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Unknown,Same Day,4
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Video/Online,1 Day,4
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Video/Online,15  to 21 Days,12
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Video/Online,2 to 7 Days,29
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Video/Online,22  to 28 Days,5
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Video/Online,8  to 14 Days,20
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,GP,Video/Online,Same Day,1
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,Other Practice staff,Face-to-Face,1 Day,201
00L,E38000130,NHS Northumberland CCG,E54000050,Cumbria And North East  STP,E40000009,North East and Yorkshire,JUL2019,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,769
